Modelname	tag	Guideexist	QMRFexist	QMRFlink	Guid	Description	Description(long)	GuideUrl	Unit(original)	Unit(original) (#1)	Unit	UnitName	UnitFamily	Lambda	Classes	ClassesGUID	Endpoint location1	Endpoint location2	Endpoint location3	Endpoint	Endpoint comment	Test type	Duration(value)	Duration(unit)	Duration(Original)	Effect	Kingdom	Phylum	Class	Test organisms (species)	Sex	Route of administration	Organ	Strain	Metabolic activation	Type of method	Assay provider	Test guideline	Reference	Reference Link	R2(Train)	RMSE(Train)	Q2(Train)	Fisher(Train)	S(Train)	R2(Invisible training)	RMSE(Invisible training)	Q2(Invisible training)	Fisher(Invisible training)	S(Invisible training)	R2(Calibration)	RMSE(Calibration)	Q2(Calibration)	Fisher(Calibration)	S(calibration)	R2(Test)	RMSE(Test)	Fisher(Test)	S(Test)	Accuracy(Train)	Specificity(Train)	Sensitivity(Train)	Accuracy(Internal Valid)	Specificity(Internal Valid)	Sensitivity(Internal Valid)	Accuracy(Test)	Specificity(Test)	Sensitivity(Test)
NOAEL (IRFMN/CORAL)	noael_coral		x	QMRF_NOAEL_IRFMN.pdf	138889f9-cd4e-44c2-ab2a-f6037bb78d38	Quantitative model for NOAEL.	Quantitative model for NOAEL developed by CORAL software at IRFMN.	VEGA_model_guide_NOAEL-CORAL_1_0_0.pdf	#NOME?	log(1/mg/kg)	log(1/mg/kg)	mg/kg	Mass fraction			65C08364-7FD4-485F-A55B-AA179BFDBADC	Human Health Hazards	Repeated Dose Toxicity		NOAEL	MLRA	oral			between 77 and 98 days	toxic	animalia			rats	NA							OECD 487	Toropova, A.P., Toropov, A.A., Marzo, M., Escher, S.E., Dorne, J.L., Georgiadis, N., Benfenati, E. The application of new HARD-descriptor available from the CORAL software to building up NOAEL models (2018) Food and Chemical Toxicology, 112, pp. 544-550		0.67	0.632	0.6616	316		0.7096	0.586				0.7584	0.545	0.7449	249														
Cramer classification (TOXTREE)	cramer_toxtree		x	QMRF_CRAMER_TOXTREE.pdf	271b9246-5e7e-4fb1-abe2-11949f7e0a6a	Cramer classification from ToxTree 3.1.	Cramer classification from ToxTree 3.1.	VEGA_model_guide_CRAMER_TT_1_0_0.pdf	null	no unit	no unit	no unit				83b28e0e-aec4-4b5b-b9d4-ccd1804b1635	Human Health Hazards	Toxic Hazard		Cramer Class	Each Cramer class is associated with a specified human exposure level, below which chemicals are considered to present a negligible risk to human health.																																															
MOA toxicity classification (EPA T.E.S.T.)	moa_test	x	x	QMRF_FISH_MOA_TEST.pdf	4581ec73-c619-4ace-bb79-c91a3e28f2fb	Classification model for MOA toxicity	Classification model for MOA toxicity, as implemented in the EPA T.E.S.T. software.	VEGA_model_guide_MOA_EPA_1_0_0.pdf	null	no unit	no unit	no unit	Moa		AChE Inhibition;Anticoagulation;nACHr Antagonism;Neurotoxicity;N/A;Reactivity;Narcosis;Uncoupler	f4752642-5c4b-4a59-93c0-51f4b92a3d98	Ecotoxicological Information	Aquatic toxicity		Mode of Action																																																
Verhaar classification (TOXTREE)	verhaar_toxtree		x	QMRF_VERHAAR_TOXTREE.pdf	956b9ec6-e523-450a-ad84-1caa09b34e97	Verhaar classification from ToxTree 3.1.	Verhaar classification from ToxTree 3.1.	VEGA_model_guide_VERHAAR_TT_1_0_0.pdf	null	no unit	no unit	no unit				028c104a-4c67-4f92-a7d8-c80a2f367bf6	Ecotoxicological Information	Aquatic toxicity		Mode of Action	Mode of action (MOA) is a functional change at the cellular level, in contrast to the mechanism of action or molecular initiating event.																																															
Fish Acute (LC50) Toxicity classification (SarPy/IRFMN)	fish_irfmn	x	x	QMRF_FISH_CLASS_SARPY.pdf	2ffc0d96-74a6-47e0-b107-4cb60863e5bd	QSAR classification model for fish acute (LC50) toxicity	QSAR classification model for fish acute (LC50) toxicity based on fragments built by SarPy software. Developed by Politecnico di Milano, Italy and Istituto di Ricerche Farmacologiche Mario Negri, Italy.	VEGA_model_guide_FISH_1_0_2.pdf	null	no unit	no unit	no unit	Toxicity		Toxic-1 (less than 1 mg/l);Toxic-2 (between 1 and 10 mg/l);NON-Toxic (more than 100 mg/l);Toxic-3 (between 10 and 100 mg/l)	206daa93-fe68-4cc6-b704-6aa6f80ea967	Ecotoxicological Information	Aquatic toxicity		LC50			96	h		Mortality	Animalia (animals)	Chordata (chordates)								in vivo		OECD 203																						0.69								
Fish Acute (LC50) Toxicity model (KNN/Read-Across)	fish_knn	x	x	QMRF_FISH_LC50_KNN.pdf	29965d77-bb85-4068-aee8-f6960fc04835	KNN (Read-Across) model for fish acute (LC50) toxicity	KNN (Read-Across) model for fish acute (LC50) toxicity developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_FISH-ReadAcross_1_0_0.pdf	#NOME?	log(1/mg/L)	log(1/mg/L)	mg/L	Mass concentration			582b051a-525a-4a0c-b22c-17f3b21b6419	Ecotoxicological Information	Aquatic toxicity		LC50			96	h		Mortality	Animalia (animals)	Chordata (chordates)								in vivo		OECD 203			0.65																											
Fish Acute (LC50) Toxicity model (NIC)	fish_nic	x	x	QMRF_FISH_LC50_NIC.pdf	7de59ed4-df41-41f0-b0a4-1158d0edcf3b	QSAR quantitative model for fish acute toxicity (by NIC)	QSAR quantitative model for fish acute toxicity based on a Neural Network. Developed by Kemijski inÃ…Â¡titut Ljubljana, Slovenija.	VEGA_model_guide_FISH_NIC_1_0_0.pdf	log(1/(mmol/L))	log(1/(mmol/L))	log(1/mmol/L)	mmol/L	Molar concentration			4890002e-a296-4bd0-ba2c-d50c78123624	Ecotoxicological Information	Aquatic toxicity		LC50			96	h		Mortality	Animalia (animals)	Chordata (chordates)								in vivo		OECD 203			0.89	0.42														0.54	0.9											
Fish Acute (LC50) Toxicity model (IRFMN)	fish_lc50	x	x	QMRF_FISH_LC50_IRFMN.pdf	68bf923e-87af-417a-96cc-c8ecfe4ed03c	Quantitative model for acute toxicity (LC50) in fish.	Quantitative model for acute toxicity (LC50) in fish (original data in mmol/l, modified with a box-cox transformation, developed by IRFMN.	VEGA_model_guide_FISH-LC50_1_0_0.pdf	a-dimensional	a-dimensional	a-dimensional	a-dimensional	Molar concentration	0.11		e89f18c8-8d48-4b09-a90f-27f5d31b4297	Ecotoxicological Information	Aquatic toxicity		LC50			96	h		Mortality	Animalia (animals)	Chordata (chordates)								in vivo		OECD 203			0.72	0.75														0.51	0.96											
Fish Acute (LC50) Toxicity model (IRFMN/Combase)	fish_comb	x	x	QMRF_FISH_LC50_COMBASE.pdf	96313b3b-492e-4040-afa7-faf68e808cbe	Quantitative model for acute toxicity (LC50) in fish, specific for biocides	Quantitative model for acute toxicity (LC50) in fish (original data in mmol/l), specific for biocides, developed by IRFMN for the Combase EU project.	VEGA_model_guide_FISH-COMBASE_1_0_0.pdf	#NOME?	log(1/mmol/L)	log(1/mmol/L)	mmol/L	Molar concentration			28d40513-4a81-4d7c-b3a9-b579ea6d3061	Ecotoxicological Information	Aquatic toxicity		LC50			96	h		Mortality	Animalia (animals)	Chordata (chordates)								in vivo		OECD 203																														
Fish Chronic (NOEC) Toxicity model (IRFMN)	fish_noec	x	x	QMRF_FISH_NOEC_IRFMN.pdf	dd6fb0f0-aa72-42ce-a1b4-15bcbb0b6a3f	Quantitative model for chronic toxicity (NOEC) in fish.	Quantitative model for chronic toxicity (NOEC) in fish (original data in mmol/l, modified with a box-cox transformation, developed by IRFMN.	VEGA_model_guide_FISH-NOEC_1_0_0.pdf	a-dimensional	a-dimensional	a-dimensional	a-dimensional	Molar concentration	0.01		2dbb5604-0bca-4b2c-abb4-c05ca719ef3d	Ecotoxicological Information	Aquatic toxicity		NOEC						Mortality															0.95	0.71														0.71	2.59											
Fathead Minnow LC50 96h (EPA)	fathead_epa	x	x	QMRF_FATHEAD_LC50_EPA.pdf	896d9d89-730c-4637-af8d-6b36962b66da	QSAR model for Fathead Minnow LC50 96h (from EPA T.E.S.T software)	QSAR model for Fathead Minnow LC50 (96h), based on multiple linear regression. The model extends the original model implemented in the T.E.S.T. software. The original model was developed by US EPA inside the T.E.S.T. software and can be freely accessd at http://www.epa.gov/nrmrl/std/cppb/qsar/.	VEGA_model_guide_LC50FM_1_0_7.pdf	#NOME?	log(1/mol/L)	log(1/mol/L)	mol/L	Molar concentration			5672c172-f9ba-4a25-9c23-871d3c9bacec	Ecotoxicological Information	Aquatic toxicity		LC50		Fish Acute Toxicity Test (OECD 203)	96	h		Mortality	Animalia (animals)	Chordata (chordates)	Actinopterygii	Pimephales promelas						in vivo		OECD 203			0.69	0.83														0.64	0.89											
Fathead Minnow LC50 model (KNN/IRFMN)	fathead_knn	x	x	QMRF_FATHEAD_LC50_KNN.pdf	c3df0e0e-d5ea-43a0-8ef6-17625d64eb0d	KNN model for acute toxicity on fathead minnow	KNN model for acute toxicity on fathead minnow	VEGA_model_guide_FATHEAD-KNN_1_0_0.pdf	log 1/LC50(mmol/L)	log 1/LC50(mmol/L)	log(1/mmol/L)	mmol/L	Molar concentration			b20d5d01-9f7e-43ab-b7c5-d1e58f43f3e1	Ecotoxicological Information	Aquatic toxicity		LC50		Fish Acute Toxicity Test (OECD 203)	96	h		Mortality	Animalia (animals)	Chordata (chordates)	Actinopterygii	Pimephales promelas						in vivo		OECD 203		C.L. Russom, S.P. Bradbury, D.E. Hammermeister, S.J. Drummond â€œPredicting modes of toxic action from chemical structure: acute toxicity in the fathead minnow (Pimephales promelas)â€� Environmental Toxicology Chemistry 16, 1997, pp. 948-967] and Su et al., 2014 [REF. LM. Su, X. Liu, Y. Wang, J.J. Li, X.H. Wang, L.X. Sheng, Y.H. Zhao, â€œThe discrimination of excess toxicity from baseline effect: Effect of bioconcentrationâ€�, Science of the Total Environment 484 (2014) 137â€“145].																0.77	0.78											
Guppy LC50 model (KNN/IRFMN)	guppy_knn	x	x	QMRF_GUPPY_LC50_KNN.pdf	3752ad53-b475-4d7e-8a47-e885edf579d8	KNN model for acute toxicity on guppy	KNN model for acute toxicity on guppy	VEGA_model_guide_GUPPY-KNN_1_0_0.pdf	log 1/LC50(mmol/L)	log 1/LC50(mmol/L)	log(1/mmol/L)	mmol/L	Molar concentration			d7f69e73-5c86-40e5-ab6e-2b61cb9841a9	Ecotoxicological Information	Aquatic toxicity		LC50		Fish Acute Toxicity Test (OECD 203)	96	h		Mortality	Animalia (animals)	Chordata (chordates)	Actinopterygii	Poecilia Reticulata						in vivo		OECD 203			0.87	0.47																										
Daphnia Magna LC50 48h (EPA)	daphnia_epa	x	x	QMRF_Daphnia_EC50_EPA.pdf	b42d6d54-d0b2-435a-a4e4-ba3ace9ddfe7	QSAR model for Daphnia Magna LC50 48h (from EPA T.E.S.T software)	QSAR model for Daphnia Magna LC50 (48h), based on multiple linear regression. The model extends the original model implemented in the T.E.S.T. software. The original model was developed by US EPA inside the T.E.S.T. software and can be freely accessd at http://www.epa.gov/nrmrl/std/cppb/qsar/.	VEGA_model_guide_LC50DM_1_0_7.pdf	#NOME?	log(1/mol/L)	log(1/mol/L)	mol/L	Molar concentration			68377259-58b4-434e-9852-c2f03baf68a5	Ecotoxicological Information	Aquatic toxicity		EC50			48	h		Immobilisation	Animalia (animals)	Arthropoda	Branchiopoda	Daphnia magna	female					in vivo		OECD 202			0.71	0.69														0.49	1.02											
Daphnia Magna LC50 48h (DEMETRA)	daphnia_demetra	x	x	QMRF_Daphnia_EC50_DEMETRA.pdf	6ce7f218-3d91-46b3-8c44-3f08a7a379b7	Acute toxicity for Water Flea (Daphnia Magna) for pesticides: LC50 48-hours exposure	Acute toxicity for Water Flea (Daphnia Magna) for pesticides: LC50 48-hours exposure. Built as a Hybrid Model upon two ANNs and a single PLS. Based on the model built for DEMETRA project (http://www.demetra-tox.net).	VEGA_model_guide_LC50DM-DEMETRA_1_0_4.pdf	#NOME?	log(1/mol/L)	log(1/mol/L)	mol/L	Molar concentration			9d56b7c9-a05f-41b9-9f3b-28cb57d4c634	Ecotoxicological Information	Aquatic toxicity		EC50			48	h		Immobilisation	Animalia (animals)	Arthropoda	Branchiopoda	Daphnia magna	female					in vivo		OECD 202			0.75	1.37														0.68	1.49											
Daphnia Magna Acute (EC50) Toxicity model (IRFMN)	daphnia_ec50		x	QMRF_Daphnia_EC50_IRFMN.pdf	47ab51c3-27e9-4a95-afb3-64ba28689d3e	Quantitative model for acute toxicity (EC50) in daphnia magna	Quantitative model for acute toxicity (EC50) in Daphnia Magna (original data in mmol/l), developed by IRFMN.	VEGA_model_guide_DAPHNIA-EC50_1_0_0.pdf	log(mmol/l)	log(mmol/l)	log(mmol/L)	mmol/L	Molar concentration			02385591-173b-4bec-8b2f-823ce7d8737c	Ecotoxicological Information	Aquatic toxicity		EC50			48	h		Immobilisation	Animalia (animals)	Arthropoda	Branchiopoda	Daphnia magna	female					in vivo		OECD 202			0.68	0.62														0.7	0.61											
Daphnia Magna Acute (EC50) Toxicity model (IRFMN/Combase)	daphnia_comb	x	x	QMRF_Daphnia_EC50_COMBASE.pdf	b2df1999-223e-4da3-8a0e-21f05570e3e8	Quantitative model for acute toxicity (EC50) in daphnia magna, specific for biocides	Quantitative model for acute toxicity (EC50) in Daphnia Magna (original data in mmol/l), specific for biocides, developed by IRFMN for the Combase EU project.	VEGA_model_guide_DAPHNIA-COMBASE_1_0_0.pdf	log(mmol/l)	log(mmol/l)	log(mmol/L)	mmol/L	Molar concentration			c123d927-e487-4abc-bd4b-71e236297a9d	Ecotoxicological Information	Aquatic toxicity		EC50	toxicity to daphnia magna	daphnia magna	48	h		Immobilisation	Animalia (animals)	Arthropoda	Branchiopoda	Daphnia magna	NA					in vivo		OECD 202	Office of Pesticide Programs (OPP) Pesticides Ecotoxicity Database and EFSA's chemical hazards database (OpenFoodTox) (S-IN, 2013, 2014, 2015; EFSA, 2014, 2017)		0.77	0.92	0.76	342		0.7	0.72	0.68			0.76	1.08	0.73	153														
Daphnia Magna Chronic (NOEC) Toxicity model (IRFMN)	daphnia_noec		x	QMRF_Daphnia_NOEC_IRFMN.pdf	bd5f19b0-70c6-4331-85a3-a63f3bea0ab2	Quantitative model for chronic toxicity (NOEC) in daphnia magna	Quantitative model for chronic toxicity (NOEC) in Daphnia Magna (original data in mmol/l), developed by IRFMN.	VEGA_model_guide_DAPHNIA-NOEC_1_0_0.pdf	log(mmol/l)	log(mmol/l)	log(mmol/L)	mmol/L	Molar concentration			8a236b89-d4b4-4b94-82e5-2d51980ce775	Ecotoxicological Information	Aquatic toxicity		NOEC		Daphnia magna chronic toxicity test (OECD 211)	21	d			Animalia (animals)	Arthropoda	Branchiopoda	Daphnia magna	female					in vivo		OECD 211			0.64	0.66														0.59	0.81											
Algae Acute (EC50) Toxicity model (IRFMN)	algae_ec50		x	QMRF_ALGAE_EC50_IRFMN.pdf	3b83420a-653d-4301-ad3d-94f3491399fc	Quantitative model for acute toxicity (EC50) in algae	Quantitative model for acute toxicity (EC50) in algae (original data in mmol/l, modified with a box-cox transformation, developed by IRFMN.	VEGA_model_guide_ALGAE-EC50_1_0_0.pdf	a-dimensional	a-dimensional	a-dimensional	a-dimensional	Molar concentration	0.07		79b812eb-ad58-47d6-bef8-1916edd51b99	Ecotoxicological Information	Aquatic toxicity		EC50			72	h		Growth Inhibition	Plantae	Chlorophyta	Chlorophyceae	Raphidocelis subcapitata						in vivo		OECD TG 201			0.88															0.51												
Algae Acute (EC50) Toxicity model (ProtoQSAR/Combase)	algae_comb	x	x	QMRF_ALGAE_EC50_COMBASE.pdf	69a5536d-1d0a-4434-931d-d068362ea3e3	Quantitative model for acute toxicity (EC50) in algae, specific for biocides	Quantitative model for acute toxicity (EC50) in algae, specific for biocides, developed by ProtoQSAR for the Combase EU project.	VEGA_model_guide_ALGAE-COMBASEEC50_1_0_0.pdf	log(mg/L)	log(mg/L)	log(mg/L)	mg/L	Mass concentration			4d190eca-7663-45be-b116-9904777e4ed1	Ecotoxicological Information	Aquatic toxicity		EC50			72	h		Growth Inhibition	Plantae	Chlorophyta	Chlorophyceae	Raphidocelis subcapitata						in vivo		OECD TG 201			0.75															0.64												
Algae Chronic (NOEC) Toxicity model (IRFMN)	algae_noec		x	QMRF_ALGAE_NOEC_IRFMN.pdf	70709b18-396b-42d3-86d2-4971e0813fb1	Quantitative model for chronic toxicity (NOEC) in algae	Quantitative model for chronic toxicity (NOEC) in algae (original data in mmol/l, modified with a box-cox transformation, developed by IRFMN.	VEGA_model_guide_ALGAE-NOEC_1_0_0.pdf	a-dimensional	a-dimensional	a-dimensional	a-dimensional	Molar concentration	0.03		ffa02b37-6e53-4cb8-83a2-ba8ac691c564	Ecotoxicological Information	Aquatic toxicity		NOEC			72	h			Plantae	Chlorophyta	Chlorophyceae	Raphidocelis subcapitata						in vivo		OECD TG 201			0.91															0.51												
Algae Classification Toxicity model (ProtoQSAR/Combase)	algae_combclass	x	x	QMRF_ALGAE_COMBASE_CLASS.pdf	a51f1975-634a-4145-bb54-e8798c128c5c	Classification model for toxicity in algae, specific for biocides	Classification model for toxicity in algae, specific for biocides, developed by ProtoQSAR for the Combase EU project.	VEGA_model_guide_ALGAE-COMBASECLASS_1_0_0.pdf	null	no unit	no unit	no unit	Toxicity		NON-Toxic;Toxic;Not predicted	57e9c069-bfc3-41fe-997e-dd81c4a67b00	Ecotoxicological Information	Aquatic toxicity		EC50			72	h		Growth Inhibition	Plantae	Chlorophyta	Chlorophyceae	Raphidocelis subcapitata						in vivo		OECD TG 201																						0.8046	0.7943	0.815	0.8117	0.7307	0.8928	0.7948	0.7368	0.8529
Bee acute toxicity model (KNN/IRFMN)	bee_knn	x	x	QMRF_Honeybee_IRFMN.pdf	2301c920-3a68-4e5e-a343-0bb998ba50aa	KNN model for bee contact and oral acute toxicity	KNN model for bee contact and oral acute toxicity developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_BEE-KNN_1_0_0.pdf	null	no unit	no unit	no unit	Toxicity		Strong toxicity (lower than 1 µg/bee);Moderate toxicity (between 1 and 100 µg/bee);Low toxicity (over 100 µg/bee);Non Predicted	2301c920-3a68-4e5e-a343-0bb998ba50aa	Ecotoxicological Information	Terrestrial toxicity		LD50		Honeybee acute contact toxicity (OECD 214)	48	h		Mortality	Animalia	Arthropoda	Insecta	Apis mellifera						in vivo		OECD 214	Como F, Carnesecchi E, Volani S, Dorne J L, Richardson J C, Bassan A, Pavan M, Benfenati E â€œPredicting acute contact toxicity of pesticides in honeybees (Apis Mellifera) through a k-Nearest Neighbor modelâ€�, Chemosphere	https://www.sciencedirect.com/science/article/pii/S0045653516312930?via%3Dihub																				0.7								
Sludge (EC50) Toxicity model (ProtoQSAR/Combase)	sludge_comb	x	x	QMRF_SLUDGE_EC50_COMBASE.pdf	0ea5bae5-e6d6-4153-81de-a8a62a2adcc3	Quantitative model for toxicity (EC50) in sludge, specific for biocides	Quantitative model for toxicity (EC50) in sludge, specific for biocides, developed by ProtoQSAR for the Combase EU project.	VEGA_model_guide_SLUDGE-COMBASEEC50_1_0_0.pdf	log(mg/L)	log(mg/L)	log(mg/L)	mg/L	Mass concentration			407dd202-ee5f-45f2-9378-55e49b009dea	Ecotoxicological Information	Aquatic toxicity		EC50										Activated Sludge								Ecotoxicological properties: Activated Sludge, Respiration Inhibition Test (OECD 209)																														
Sludge Classification Toxicity model (ProtoQSAR/Combase)	sludge_combclass	x	x	QMRF_SLUDGE_CLASS_COMBASE.pdf	3399f8b2-e0a9-45b1-ab38-d1440bc9bac7	Classification model for toxicity in sludge, specific for biocides	Classification model for toxicity in sludge, specific for biocides, developed by ProtoQSAR for the Combase EU project.	VEGA_model_guide_SLUDGE-COMBASECLASS_1_0_0.pdf	null	no unit	no unit	no unit	Toxicity		NON-Toxic;Toxic;Not predicted	bb8be46a-50cb-4efc-b6e7-f274becd215f	Ecotoxicological Information	Aquatic toxicity		EC50										Activated Sludge																																						
BCF model (CAESAR)	bcf_caesar	x	x	QMRF_BCF_CAESAR.pdf	4759a2d9-b6dd-47d4-88e8-ec0295ec5a5f	QSAR regression model for fish BCF (from CAESAR project)	QSAR model for fish BCF, based on a Radial Basis Function neural network. The model extends the original CAESAR BCF model 1.0, full reference to the model: C. Zhao, E. Boriani, A. Chana, A. Roncaglioni, E. Benfenati A new hybrid system of QSAR models for predicting bioconcentration factors (BCF), Chemosphere 73 (2008) 1701Ã¢â‚¬â€œ1707. The original model was developed inside the CAESAR Project (http://www.caesar-project.eu/).	VEGA_model_guide_BCF_2_1_14.pdf	log(L/kg)	log(L/kg)	log(L/kg)	L/kg	Specific volume			cd9cf593-14ed-4c0d-ade9-407f8320cc04	Environmental Fate and Transport	Bioaccumulation: aquatic		BCF	Log BCF	Bioconcentration Factor (OECD 305)								Fish								OECD 305		Zhao, C., Boriani, E., Chana, A., Roncaglioni,A., Benfenati, E. A new hybrid system of QSAR models for predicting bioconcentration factors (BCF). Chemosphere (2008), 73, 1701-1707.	0.82	0.58														0.78	0.62											
BCF model (Meylan)	bcf_meyla	x	x	QMRF_BCF_MEYLAN.pdf	5eb6c516-3c3f-463d-a66a-2ccb7f218dcc	QSAR regression model for fish BCF (based on Meylan model)	QSAR model for fish BCF, based on Meylan approach, as implemented in EPI Suite. Full reference to this model can be found in the EPI Suite help (http://www.epa.gov/oppt/exposure/pubs/episuite.htm) and in the original paper from Meylan: Meylan W.M., Howard P.H., Boethling R.S. et al. Improved Method for Estimating Bioconcentration / Bioaccumulation Factor from Octanol/Water Partition Coefficient. 1999,Ã‚Â Environ. Toxicol. Chem. 18(4): 664-672. Model developed inside the VEGA platform.	VEGA_model_guide_BCF-Meylan_1_0_3.pdf	log(L/kg)	log(L/kg)	log(L/kg)	L/kg	Specific volume			a7ccdbf2-5892-4c78-8d82-f14abb1a8c61	Environmental Fate and Transport	Bioaccumulation: aquatic		BCF																					0.8	0.55														0.79	0.66											
BCF model (KNN/Read-Across)	bcf_knn	x	x	QMRF_BCF_KNN.pdf	35ec59ff-6e75-4c2e-9059-6a7bd1767bd4	KNN (Read-Across) model for fish BCF	KNN (Read-Across) model for fish BCF.	VEGA_model_guide_BCF-ReadAcross_1_1_0.pdf	log(L/kg)	log(L/kg)	log(L/kg)	L/kg	Specific volume			8b5e71dc-03ec-44bd-b8d7-5a44405fe4b1	Environmental Fate and Transport	Bioaccumulation: aquatic		BCF										Fish										10.1016/j.chemosphere.2015.10.054	0.67	0.76														0.491	0.783											
BCF model (Arnot-Gobas)	bcf_arnot	x	x	QMRF_BCF_ARTNOTGOBAS.pdf	8fb24608-3e4f-4141-b2f8-ac6e32a5fcc2	QSAR regression model for fish BCF (based on Arnot-Gobas model)	QSAR model for fish BCF, based on Arnot-Gobas approach, as implemented in EPI Suite BCF-BAF module. Full reference to this model can be found in the EPI Suite help (http://www.epa.gov/oppt/exposure/pubs/episuite.htm). Model developed inside the VEGA platform.	VEGA_model_guide_BCF-ArnotGobas_1_0_0.pdf	log(L/kg)	log(L/kg)	log(L/kg)	L/kg	Specific volume			29931c32-a332-421a-bb02-d82b1a6a6434	Environmental Fate and Transport	Bioaccumulation: aquatic		BCF										Fish											0.65																											
kM/Half-Life model (Arnot/EpiSuite)	km_arnot	x	x	QMRF_kMHalf-Life_ARNOT.pdf	5ceb741e-1e71-461f-a66a-9313ecb47866	kM/Half-Life (days) model based on Arnot work (and implemented in EPI Suite software in the BCFBAF module).	kM/Half-Life (days) model based on the work of Arnot, based on the logP and MW value, plus a set of correction factors.	VEGA_model_guide_KM-HL_1_0_0.pdf	log days	log d	log(d)	d	Time			9f1b150f-f938-4390-b1c9-900d849b14aa	Environmental Fate and Transport	Bioaccumulation: aquatic		kM										Fish										10.1897/07-310R.1	0.79	0.53														0.67	0.65											
Ready Biodegradability model (IRFMN)	rb_irfmn	x	x	QMRF_RB_IRFMN.pdf	095637fb-3872-4443-9460-3a9b032cde01	QSAR classification model for Ready Biodegradability	QSAR classification model for Ready Biodegradability based on fragments built by SarPy software. Developed by Politecnico di Milano, Italy and Istituto di Ricerche Farmacologiche Mario Negri, Italy.	VEGA_model_guide_RB_1_0_9.pdf	null	no unit	no unit	no unit	Biodegradation		Readily Biodegradable;NON Readily Biodegradable;Possible NON Readily Biodegradable;Not classifiable;Possible Readily Biodegradable	aa270772-e740-44df-9cca-59c9892ad19c	Environmental Fate and Transport	Biodegradation		Ready Biodegradability										Activated sludge										10.1016/j.chemosphere.2014.02.073																												
Persistence (sediment) model (IRFMN)	p_sed_irfmn	x	x	QMRF_PERSISTENCE_SEDIMENT_CLASS.pdf	19cb6473-1771-4dbb-98ba-69363bd43ad8	Persistence (sediment) model	Persistence (sediment) model developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_PERSISTENCE-Sediment_1_0_0.pdf	null	no unit	no unit	no unit	Persistence		nP;nP/P;vP;P/vP;Non Predicted	6a4c8f91-1b46-4469-a631-d75b35293f2b	Environmental Fate and Transport	Biodegradation	Biodegradation in water and sediment: Screening Tests	Persistence		Aerobic and Anaerobic Transformation in Aquatic Sediment Systems																OECD 308	Manganaro, A., Pizzo, F., Lombardo, A., Pogliaghi, A., & Benfenati, E. (2016). Predicting persistence in the sediment compartment with a new automatic software based on the k-Nearest Neighbor (k-NN) algorithm. Chemosphere, 144, 1624-1630.	10.1016/j.chemosphere.2015.10.054																				0.85								
Persistence (sediment) quantitative model (IRFMN)	pq_sed_irfmn	x	x	QMRF_PERSISTENCE_SEDIMENT_REG.pdf	ce90aff6-cede-4cad-a912-3f7b8697958a	Persistence (sediment) quantitative model	Persistence (sediment) quantitative model developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_SED_QUANTITATIVE_1_0_0.pdf	log(days)	log(d)	log(d)	d	Time			bc8deaaa-1f30-41ed-ba70-6bc82c763018	Environmental Fate and Transport	Biodegradation	Biodegradation in water and sediment: Screening Tests	Persistence		Aerobic and Anaerobic Transformation in Aquatic Sediment Systems																OECD 308	Gouin, T., Cousins, I., Mackay, D., 2004. Comparison of two methods for obtaining degradation half-lives. Chemosphere 56, 531â€“535	10.1016/j.chemosphere.2004.04.018	0.89	0.28														0.84	0.34											
Persistence (soil) model (IRFMN)	p_soil_irfmn	x	x	QMRF_PERSISTENCE_SOIL_CLASS.pdf	9123b11b-428a-4edb-91c9-78c62fd42092	Persistence (soil) model	Persistence (soil) model developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_PERSISTENCE-Soil_1_0_0.pdf	null	no unit	no unit	no unit	Persistence		nP;nP/P;vP;P/vP;Non Predicted	94fc56e1-48b6-40a2-9e8c-5d3e0e4ea04e	Environmental Fate and Transport	Biodegradation	Biodegradation in soil	Persistence		Aerobic and Anaerobic Transformation in Soil																OECD 307	Gramatica, P., & Papa, E. (2007). Screening and ranking of POPs for global half-life: QSAR approaches for prioritization based on molecular structure. Environmental science & technology, 41(8), 2833-2839.	10.1021/es061773b																				0.72								
Persistence (soil) quantitative model (IRFMN)	pq_soil_irfmn	x	x	QMRF_PERSISTENCE_SOIL_REG.pdf	cdb6a4b9-2ffe-4584-9973-ec35adeb405e	Persistence (soil) quantitative model	Persistence (soil) quantitative model developed by Istituto di Ricerche Farmacologiche Mario Negri.	VEGA_model_guide_SOIL_QUANTITATIVE_1_0_0.pdf	log(days)	log(d)	log(d)	d	Time			ce7572f2-fef0-4188-b8fa-9422c0c1fad6	Environmental Fate and Transport	Biodegradation	Biodegradation in soil	Persistence		Aerobic and Anaerobic Transformation in Soil																OECD 307	Gouin, T., Cousins, I., Mackay, D., 2004. Comparison of two methods for obtaining degradation half-lives. Chemosphere 56, 531â€“535	10.1016/j.chemosphere.2004.04.018	0.96	0.17														0.67	0.48											
